fips,pop_density
2.020000000000000000e+03,1.711999999999999886e+02
2.050000000000000000e+03,4.000000000000000222e-01
2.060000000000000000e+03,2.000000000000000000e+00
2.068000000000000000e+03,1.000000000000000056e-01
2.070000000000000000e+03,2.999999999999999889e-01
2.090000000000000000e+03,1.330000000000000071e+01
2.100000000000000000e+03,1.100000000000000089e+00
2.105000000000000000e+03,2.999999999999999889e-01
2.110000000000000000e+03,1.159999999999999964e+01
2.122000000000000000e+03,3.399999999999999911e+00
2.130000000000000000e+03,2.799999999999999822e+00
2.150000000000000000e+03,2.100000000000000089e+00
2.164000000000000000e+03,1.000000000000000056e-01
2.170000000000000000e+03,3.600000000000000089e+00
2.180000000000000000e+03,4.000000000000000222e-01
2.185000000000000000e+03,1.000000000000000056e-01
2.188000000000000000e+03,2.000000000000000111e-01
2.195000000000000000e+03,1.199999999999999956e+00
2.198000000000000000e+03,1.399999999999999911e+00
2.220000000000000000e+03,3.100000000000000089e+00
2.230000000000000000e+03,2.100000000000000089e+00
2.240000000000000000e+03,2.999999999999999889e-01
2.261000000000000000e+03,2.999999999999999889e-01
2.270000000000000000e+03,4.000000000000000222e-01
2.275000000000000000e+03,9.000000000000000222e-01
2.282000000000000000e+03,1.000000000000000056e-01
2.290000000000000000e+03,0.000000000000000000e+00
4.001000000000000000e+03,6.400000000000000355e+00
4.003000000000000000e+03,2.130000000000000071e+01
4.005000000000000000e+03,7.200000000000000178e+00
4.007000000000000000e+03,1.130000000000000071e+01
4.009000000000000000e+03,8.099999999999999645e+00
4.011000000000000000e+03,4.599999999999999645e+00
4.012000000000000000e+03,4.599999999999999645e+00
4.013000000000000000e+03,4.148999999999999773e+02
4.015000000000000000e+03,1.500000000000000000e+01
4.017000000000000000e+03,1.080000000000000071e+01
4.019000000000000000e+03,1.067000000000000028e+02
4.021000000000000000e+03,7.000000000000000000e+01
4.023000000000000000e+03,3.829999999999999716e+01
4.025000000000000000e+03,2.600000000000000000e+01
4.027000000000000000e+03,3.550000000000000000e+01
5.001000000000000000e+03,1.919999999999999929e+01
5.003000000000000000e+03,2.360000000000000142e+01
5.005000000000000000e+03,7.490000000000000568e+01
5.007000000000000000e+03,2.611999999999999886e+02
5.009000000000000000e+03,6.250000000000000000e+01
5.011000000000000000e+03,1.769999999999999929e+01
5.013000000000000000e+03,8.500000000000000000e+00
5.015000000000000000e+03,4.360000000000000142e+01
5.017000000000000000e+03,1.830000000000000071e+01
5.019000000000000000e+03,2.660000000000000142e+01
5.021000000000000000e+03,2.519999999999999929e+01
5.023000000000000000e+03,4.689999999999999858e+01
5.025000000000000000e+03,1.450000000000000000e+01
5.027000000000000000e+03,3.210000000000000142e+01
5.029000000000000000e+03,3.850000000000000000e+01
5.031000000000000000e+03,1.364000000000000057e+02
5.033000000000000000e+03,1.044000000000000057e+02
5.035000000000000000e+03,8.350000000000000000e+01
5.037000000000000000e+03,2.900000000000000000e+01
5.039000000000000000e+03,1.219999999999999929e+01
5.041000000000000000e+03,1.689999999999999858e+01
5.043000000000000000e+03,2.230000000000000071e+01
5.045000000000000000e+03,1.748000000000000114e+02
5.047000000000000000e+03,2.980000000000000071e+01
5.049000000000000000e+03,1.980000000000000071e+01
5.051000000000000000e+03,1.416999999999999886e+02
5.053000000000000000e+03,2.830000000000000071e+01
5.055000000000000000e+03,7.290000000000000568e+01
5.057000000000000000e+03,3.110000000000000142e+01
5.059000000000000000e+03,5.350000000000000000e+01
5.061000000000000000e+03,2.339999999999999858e+01
5.063000000000000000e+03,4.800000000000000000e+01
5.065000000000000000e+03,2.360000000000000142e+01
5.067000000000000000e+03,2.839999999999999858e+01
5.069000000000000000e+03,8.890000000000000568e+01
5.071000000000000000e+03,3.870000000000000284e+01
5.073000000000000000e+03,1.450000000000000000e+01
5.075000000000000000e+03,2.960000000000000142e+01
5.077000000000000000e+03,1.730000000000000071e+01
5.079000000000000000e+03,2.519999999999999929e+01
5.081000000000000000e+03,2.469999999999999929e+01
5.083000000000000000e+03,3.160000000000000142e+01
5.085000000000000000e+03,8.870000000000000284e+01
5.087000000000000000e+03,1.880000000000000071e+01
5.089000000000000000e+03,2.789999999999999858e+01
5.091000000000000000e+03,6.950000000000000000e+01
5.093000000000000000e+03,5.160000000000000142e+01
5.095000000000000000e+03,1.340000000000000036e+01
5.097000000000000000e+03,1.219999999999999929e+01
5.099000000000000000e+03,1.459999999999999964e+01
5.101000000000000000e+03,1.009999999999999964e+01
5.103000000000000000e+03,3.560000000000000142e+01
5.105000000000000000e+03,1.889999999999999858e+01
5.107000000000000000e+03,3.130000000000000071e+01
5.109000000000000000e+03,1.880000000000000071e+01
5.111000000000000000e+03,3.239999999999999858e+01
5.113000000000000000e+03,2.410000000000000142e+01
5.115000000000000000e+03,7.600000000000000000e+01
5.117000000000000000e+03,1.340000000000000036e+01
5.119000000000000000e+03,5.038000000000000114e+02
5.121000000000000000e+03,2.760000000000000142e+01
5.123000000000000000e+03,4.450000000000000000e+01
5.125000000000000000e+03,1.480000000000000000e+02
5.127000000000000000e+03,1.259999999999999964e+01
5.129000000000000000e+03,1.230000000000000071e+01
5.131000000000000000e+03,2.364000000000000057e+02
5.133000000000000000e+03,3.019999999999999929e+01
5.135000000000000000e+03,2.860000000000000142e+01
5.137000000000000000e+03,2.039999999999999858e+01
5.139000000000000000e+03,4.010000000000000142e+01
5.141000000000000000e+03,2.439999999999999858e+01
5.143000000000000000e+03,2.155999999999999943e+02
5.145000000000000000e+03,7.450000000000000000e+01
5.147000000000000000e+03,1.240000000000000036e+01
5.149000000000000000e+03,2.389999999999999858e+01
6.001000000000000000e+03,2.043599999999999909e+03
6.003000000000000000e+03,1.600000000000000089e+00
6.005000000000000000e+03,6.409999999999999432e+01
6.007000000000000000e+03,1.344000000000000057e+02
6.009000000000000000e+03,4.470000000000000284e+01
6.011000000000000000e+03,1.860000000000000142e+01
6.013000000000000000e+03,1.465200000000000045e+03
6.015000000000000000e+03,2.839999999999999858e+01
6.017000000000000000e+03,1.060000000000000000e+02
6.019000000000000000e+03,1.561999999999999886e+02
6.021000000000000000e+03,2.139999999999999858e+01
6.023000000000000000e+03,3.770000000000000284e+01
6.025000000000000000e+03,4.179999999999999716e+01
6.027000000000000000e+03,1.800000000000000044e+00
6.029000000000000000e+03,1.032999999999999972e+02
6.031000000000000000e+03,1.100999999999999943e+02
6.033000000000000000e+03,5.150000000000000000e+01
6.035000000000000000e+03,7.700000000000000178e+00
6.037000000000000000e+03,2.419599999999999909e+03
6.039000000000000000e+03,7.059999999999999432e+01
6.041000000000000000e+03,4.851000000000000227e+02
6.043000000000000000e+03,1.259999999999999964e+01
6.045000000000000000e+03,2.510000000000000142e+01
6.047000000000000000e+03,1.321999999999999886e+02
6.049000000000000000e+03,2.500000000000000000e+00
6.051000000000000000e+03,4.700000000000000178e+00
6.053000000000000000e+03,1.265000000000000000e+02
6.055000000000000000e+03,1.824000000000000057e+02
6.057000000000000000e+03,1.030999999999999943e+02
6.059000000000000000e+03,3.807699999999999818e+03
6.061000000000000000e+03,2.475999999999999943e+02
6.063000000000000000e+03,7.799999999999999822e+00
6.065000000000000000e+03,3.038000000000000114e+02
6.067000000000000000e+03,1.470799999999999955e+03
6.069000000000000000e+03,3.979999999999999716e+01
6.071000000000000000e+03,1.015000000000000000e+02
6.073000000000000000e+03,7.357999999999999545e+02
6.075000000000000000e+03,1.717909999999999854e+04
6.077000000000000000e+03,4.926000000000000227e+02
6.079000000000000000e+03,8.170000000000000284e+01
6.081000000000000000e+03,1.602200000000000045e+03
6.083000000000000000e+03,1.550000000000000000e+02
